type_nomenclature_code,cd_nomenclature,mnemonique,label_default,definition_default,label_fr,definition_fr,cd_nomenclature_broader,hierarchy
TYPE_PERTURBATION,Fos,Fossé pare-blocs,Fossé pare-blocs,Aménagements lourds: Fossé pare-blocs,Fossé pare-blocs,Aménagements lourds: Fossé pare-blocs,AmL,.008.002
TYPE_PERTURBATION,End,Endiguement,Endiguement,Aménagements lourds: Endiguement,Endiguement,Aménagements lourds: Endiguement,AmL,.008.003
TYPE_PERTURBATION,Ter,Terrassement aménagements lourds,Terrassement aménagements lourds,Aménagements lourds: Terrassement pour aménagements lourds,Terrassement aménagements lourds,Aménagements lourds: Terrassement pour aménagements lourds,AmL,.008.004
TYPE_PERTURBATION,Deb,Déboisement avec désouchage,Déboisement avec désouchage,Aménagements lourds: Déboisement avec désouchage,Déboisement avec désouchage,Aménagements lourds: Déboisement avec désouchage,AmL,.008.005
TYPE_PERTURBATION,Beg,Béton-goudron:revêtement,Béton-goudron:revêtement,"Aménagements lourds: Béton, goudron-revêtement abiotique",Béton-goudron:revêtement,"Aménagements lourds: Béton, goudron-revêtement abiotique",AmL,.008.006
TYPE_PERTURBATION,GeI,Gestion des invasives,Gestion des invasives,Type de perturbation: Gestion des invasives,Gestion des invasives,Type de perturbation: Gestion des invasives,0,.009
TYPE_PERTURBATION,Arg,Arrachage,Arrachage,Gestion des invasives: Arrachage,Arrachage,Gestion des invasives: Arrachage,GeI,.009.001
TYPE_PERTURBATION,Fag,Fauchage,Fauchage,Gestion des invasives: Fauchage,Fauchage,Gestion des invasives: Fauchage,GeI,.009.002
TYPE_PERTURBATION,Dbs,Débroussaillage,Débroussaillage,Gestion des invasives: Débroussaillage,Débroussaillage,Gestion des invasives: Débroussaillage,GeI,.009.003
TYPE_PERTURBATION,Reb,Recouvrement avec bâches,Recouvrement avec bâches,Gestion des invasives: Recouvrement avec bâches,Recouvrement avec bâches,Gestion des invasives:Recouvrement avec bâches,GeI,.009.004
